projectName,city,fullAddress,type,bhk,carpetArea,price,price_cr,price_formatted,status,possession_status,pincode,landmark,balcony,bathrooms,reraId
Ashwini,Mumbai,Mumbai chembur,1BHK,1,123.0,11111111,1.1111111,₹1.11 Cr,UNDER_CONSTRUCTION,Under Construction,411017,Babys school,1.0,1,"[""P99000056045""]"
Ashwini,Mumbai,Mumbai chembur,2BHK,2,456.0,22222222,2.2222222,₹2.22 Cr,UNDER_CONSTRUCTION,Under Construction,411017,Babys school,2.0,0,"[""P99000056045""]"
Pristine02,Pune,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",2BHK,2,972.0,120000000,12.0,₹12.00 Cr,READY_TO_MOVE,Ready to Move,412101,Sai nagar ,3.0,12,"[""P52100032109""]"
Pristine02,Pune,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",2BHK,2,188.73,210000000,21.0,₹21.00 Cr,READY_TO_MOVE,Ready to Move,412101,Sai nagar ,2.0,3,"[""P52100032109""]"
Gurukripa,Mumbai,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",1BHK,1,426.57,13000000,1.3,₹1.30 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Sindhi Society,1.0,1,"[""[\""P51800047648\""]""]"
Gurukripa,Mumbai,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",1BHK,1,460.8,15000000,1.5,₹1.50 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Sindhi Society,1.0,1,"[""[\""P51800047648\""]""]"
Gurukripa,Mumbai,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",3BHK,3,893.08,29000000,2.9,₹2.90 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Sindhi Society,2.0,3,"[""[\""P51800047648\""]""]"
Gurukripa,Mumbai,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",3BHK,3,918.27,29000000,2.9,₹2.90 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Sindhi Society,2.0,3,"[""[\""P51800047648\""]""]"
Gurukripa,Mumbai,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",2BHK,2,804.6,26000000,2.6,₹2.60 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Sindhi Society,2.0,2,"[""[\""P51800047648\""]""]"
Gurukripa,Mumbai,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",2BHK,2,1036.67,33000000,3.3,₹3.30 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Sindhi Society,2.0,2,"[""[\""P51800047648\""]""]"
Hari om,Mumbai,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",1BHK,1,443.37,13000000,1.3,₹1.30 Cr,UNDER_CONSTRUCTION,Under Construction,400069,Sindhi Society,1.0,1,"[""P51800066536""]"
Hari om,Mumbai,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",2BHK,2,644.11,19000000,1.9,₹1.90 Cr,UNDER_CONSTRUCTION,Under Construction,400069,Sindhi Society,2.0,2,"[""P51800066536""]"
Hari om,Mumbai,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",3BHK,3,798.57,23000000,2.3,₹2.30 Cr,UNDER_CONSTRUCTION,Under Construction,400069,Sindhi Society,2.0,3,"[""P51800066536""]"
Om makarand heights,Mumbai,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",1BHK,1,379.0,850000,0.085,₹8 L,UNDER_CONSTRUCTION,Under Construction,400075,Hind high school,1.0,1,"[""P51800052217""]"
Om makarand heights,Mumbai,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",1BHK,1,354.0,790000,0.079,₹8 L,UNDER_CONSTRUCTION,Under Construction,400075,Hind high school,1.0,1,"[""P51800052217""]"
Om makarand heights,Mumbai,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",1BHK,1,391.0,880000,0.088,₹9 L,UNDER_CONSTRUCTION,Under Construction,400075,Hind high school,0.0,1,"[""P51800052217""]"
Om makarand heights,Mumbai,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",2BHK,2,536.0,12000000,1.2,₹1.20 Cr,UNDER_CONSTRUCTION,Under Construction,400075,Hind high school,2.0,2,"[""P51800052217""]"
